Lat;22.97;lon;76.06
Datetime;Year;Month;Day;Data
1966-01-01;1966;1;1;0.0
1966-02-01;1966;2;1;0.0
1966-03-01;1966;3;1;0.0
1966-04-01;1966;4;1;0.0
1966-05-01;1966;5;1;0.0
1966-06-01;1966;6;1;73.6
1966-07-01;1966;7;1;423.7
1966-08-01;1966;8;1;259.0
1966-09-01;1966;9;1;115.2
1966-10-01;1966;10;1;3.6
1966-11-01;1966;11;1;0.0
1966-12-01;1966;12;1;0.0
1967-01-01;1967;1;1;0.0
1967-02-01;1967;2;1;0.0
1967-03-01;1967;3;1;0.0
1967-04-01;1967;4;1;0.0
1967-05-01;1967;5;1;0.0
1967-06-01;1967;6;1;269.3
1967-07-01;1967;7;1;184.0
1967-08-01;1967;8;1;165.3
1967-09-01;1967;9;1;175.9
1967-10-01;1967;10;1;0.0
1967-11-01;1967;11;1;0.0
1967-12-01;1967;12;1;0.0
1968-01-01;1968;1;1;0.0
1968-02-01;1968;2;1;0.0
1968-03-01;1968;3;1;0.0
1968-04-01;1968;4;1;0.0
1968-05-01;1968;5;1;0.0
1968-06-01;1968;6;1;10.7
1968-07-01;1968;7;1;497.7
1968-08-01;1968;8;1;206.4
1968-09-01;1968;9;1;100.6
1968-10-01;1968;10;1;17.6
1968-11-01;1968;11;1;0.0
1968-12-01;1968;12;1;0.0
1969-01-01;1969;1;1;0.0
1969-02-01;1969;2;1;0.0
1969-03-01;1969;3;1;0.0
1969-04-01;1969;4;1;0.0
1969-05-01;1969;5;1;0.0
1969-06-01;1969;6;1;61.5
1969-07-01;1969;7;1;325.3
1969-08-01;1969;8;1;461.2
1969-09-01;1969;9;1;244.5
1969-10-01;1969;10;1;0.0
1969-11-01;1969;11;1;0.0
1969-12-01;1969;12;1;0.0
1970-01-01;1970;1;1;0.0
1970-02-01;1970;2;1;0.0
1970-03-01;1970;3;1;0.0
1970-04-01;1970;4;1;0.0
1970-05-01;1970;5;1;0.0
1970-06-01;1970;6;1;539.5
1970-07-01;1970;7;1;209.8
1970-08-01;1970;8;1;386.9
1970-09-01;1970;9;1;295.8
1970-10-01;1970;10;1;0.4
1970-11-01;1970;11;1;0.0
1970-12-01;1970;12;1;0.0
1971-01-01;1971;1;1;0.0
1971-02-01;1971;2;1;0.0
1971-03-01;1971;3;1;0.0
1971-04-01;1971;4;1;0.0
1971-05-01;1971;5;1;0.0
1971-06-01;1971;6;1;249.7
1971-07-01;1971;7;1;296.1000000000001
1971-08-01;1971;8;1;258.5
1971-09-01;1971;9;1;320.6
1971-10-01;1971;10;1;35.42954545454546
1971-11-01;1971;11;1;0.0
1971-12-01;1971;12;1;0.0
1972-01-01;1972;1;1;0.0
1972-02-01;1972;2;1;0.0
1972-03-01;1972;3;1;0.0
1972-04-01;1972;4;1;0.0
1972-05-01;1972;5;1;0.0
1972-06-01;1972;6;1;159.4
1972-07-01;1972;7;1;176.3
1972-08-01;1972;8;1;344.0
1972-09-01;1972;9;1;41.0
1972-10-01;1972;10;1;6.3
1972-11-01;1972;11;1;0.0
1972-12-01;1972;12;1;0.0
1973-01-01;1973;1;1;0.0
1973-02-01;1973;2;1;0.0
1973-03-01;1973;3;1;0.0
1973-04-01;1973;4;1;0.0
1973-05-01;1973;5;1;0.0
1973-06-01;1973;6;1;83.5
1973-07-01;1973;7;1;1069.7
1973-08-01;1973;8;1;543.3
1973-09-01;1973;9;1;306.1
1973-10-01;1973;10;1;116.9
1973-11-01;1973;11;1;0.0
1973-12-01;1973;12;1;0.0
1974-01-01;1974;1;1;0.0
1974-02-01;1974;2;1;0.0
1974-03-01;1974;3;1;0.0
1974-04-01;1974;4;1;0.0
1974-05-01;1974;5;1;0.0
1974-06-01;1974;6;1;21.5
1974-07-01;1974;7;1;269.5
1974-08-01;1974;8;1;476.5
1974-09-01;1974;9;1;95.1
1974-10-01;1974;10;1;176.0
1974-11-01;1974;11;1;0.0
1974-12-01;1974;12;1;0.0
1975-01-01;1975;1;1;0.0
1975-02-01;1975;2;1;0.0
1975-03-01;1975;3;1;0.0
1975-04-01;1975;4;1;0.0
1975-05-01;1975;5;1;0.0
1975-06-01;1975;6;1;91.4
1975-07-01;1975;7;1;246.9
1975-08-01;1975;8;1;334.9
1975-09-01;1975;9;1;304.1
1975-10-01;1975;10;1;68.7
1975-11-01;1975;11;1;0.0
1975-12-01;1975;12;1;0.0
1976-01-01;1976;1;1;0.0
1976-02-01;1976;2;1;0.0
1976-03-01;1976;3;1;0.0
1976-04-01;1976;4;1;0.0
1976-05-01;1976;5;1;0.0
1976-06-01;1976;6;1;316.4
1976-07-01;1976;7;1;313.0
1976-08-01;1976;8;1;621.8
1976-09-01;1976;9;1;221.1
1976-10-01;1976;10;1;0.0
1976-11-01;1976;11;1;0.0
1976-12-01;1976;12;1;0.0
1977-01-01;1977;1;1;0.0
1977-02-01;1977;2;1;0.0
1977-03-01;1977;3;1;0.0
1977-04-01;1977;4;1;0.0
1977-05-01;1977;5;1;0.0
1977-06-01;1977;6;1;84.4
1977-07-01;1977;7;1;201.9
